clip,window,n_frames,activity_index,distribution_uniformity,piling_score,feed_visit_rate,distress_index
1130_jpg.rf.d9174fd6c036e14a8ea85185f4b65b65.jpg,179,1,0.0000,0.3066,0.0000,1.0000,0.5000
1131_jpg.rf.e4122647b93c53f70b48104226ab2063.jpg,180,1,0.0000,0.5000,0.0000,1.0000,0.5000
1132_jpg.rf.d50e04316bd211f7ea5601a5af3f526d.jpg,181,1,0.0000,0.3066,0.0000,1.0000,0.5000
1133_jpg.rf.3b1124cc1d0c1915560960c9bb324975.jpg,182,1,0.0000,0.3869,0.0000,1.0000,0.5000
1134_jpg.rf.c4eb81119f05fc465a621bfbc819877f.jpg,183,1,0.0000,0.3066,0.0000,1.0000,0.5000
1136_jpg.rf.4055084f3b413f7e149f589888cf05dd.jpg,184,1,0.0000,0.4491,0.0000,1.0000,0.5000
1137_jpg.rf.a4b88d08c13d92a94ee27893aca688a3.jpg,185,1,0.0000,0.1934,0.0000,1.0000,0.5000
1138_jpg.rf.9b114ab22b27396beb7d4a8615cbd831.jpg,186,1,0.0000,0.4491,0.0000,1.0000,0.5000
1139_jpg.rf.692abf60566b0128d59b784b0967a59a.jpg,187,1,0.0000,0.3066,0.0000,1.0000,0.5000
113_jpg.rf.f91dd9206fce3f5fedb05ff195499e51.jpg,188,1,0.0000,0.6290,0.1667,0.0000,0.5333
1140_jpg.rf.447408bf3d01ad45c00bfbe66829fb86.jpg,189,1,0.0000,0.1934,0.0000,1.0000,0.5000
1141_jpg.rf.2d8a0d2b26b878e41c8fa46ab5be0d2e.jpg,190,1,0.0000,0.1934,0.0000,1.0000,0.5000
1142_jpg.rf.8adefa6f093a95597f77e43aca7328c5.jpg,191,1,0.0000,0.3869,0.0000,1.0000,0.5000
1143_jpg.rf.386d950143b7a7f7fb0256de923f72a3.jpg,192,1,0.0000,0.3869,0.0000,1.0000,0.5000
1144_jpg.rf.0b59f70877c050737e0ae292331d5292.jpg,193,1,0.0000,0.1934,0.0000,1.0000,0.5000
1145_jpg.rf.e9fed8fe286a3c813578b552e65b32ab.jpg,194,1,0.0000,0.0000,0.0000,1.0000,0.5000
1146_jpg.rf.831ff0341cd383a81ce61d2d69e0a4d2.jpg,195,1,0.0000,0.0000,0.0000,1.0000,0.5000
1147_jpg.rf.cea8707143daf5c0dd173ad7d4c0db0a.jpg,196,1,0.0000,0.0000,0.0000,1.0000,0.5000
1148_jpg.rf.b5c385e94757c3117f49816a38727d61.jpg,197,1,0.0000,0.0000,0.0000,1.0000,0.5000
1149_jpg.rf.d6f095739653f2c5f60178c175824e73.jpg,198,1,0.0000,0.1934,0.0000,1.0000,0.5000
1150_jpg.rf.034d8e8b0ddaad3f7dbefee3e91f058f.jpg,199,1,0.0000,0.3066,0.0000,1.0000,0.5000
1151_jpg.rf.224d8702e3e8b030cd0238a15c41d58a.jpg,200,1,0.0000,0.1934,0.0000,1.0000,0.5000
1153_jpg.rf.ae9b11dce60ae68e6fa501ee46d09a39.jpg,201,1,0.0000,0.2901,0.0000,1.0000,0.5000
1154_jpg.rf.badebf891a9402524392cdea4b869580.jpg,202,1,0.0000,0.1776,0.0000,1.0000,0.5000
1156_jpg.rf.d2855f543d32c0a4669d167d3e1c7019.jpg,203,1,0.0000,0.0000,0.0000,1.0000,0.5000
1158_jpg.rf.aabd44901a1a081039c68915c01ed7d5.jpg,204,1,0.0000,0.1934,0.0000,1.0000,0.5000
115_jpg.rf.d3e8d814a2716a4f6285d326f7e66882.jpg,205,1,0.0000,0.6612,0.0000,0.0000,0.5000
1161_jpg.rf.d89bc2971f029242cb93bffccc0dd9f3.jpg,206,1,0.0000,0.4491,0.0000,1.0000,0.5000
1162_jpg.rf.d02a242a852c749c32ad15b2d263d510.jpg,207,1,0.0000,0.1934,0.0000,1.0000,0.5000
1163_jpg.rf.dea29b2a059c92120b8734c56eaaed4e.jpg,208,1,0.0000,0.6612,0.6667,0.0000,0.6333
1164_jpg.rf.6254b23c9f025c9e6b403570afe85f3a.jpg,209,1,0.0000,0.3869,0.0000,1.0000,0.5000
1167_jpg.rf.f58cd758ca2dd5776f40e471344c34c5.jpg,210,1,0.0000,0.3869,0.0000,1.0000,0.5000
1168_jpg.rf.cc6615255ddb96599c4e44d78b65218a.jpg,211,1,0.0000,0.3066,0.0000,1.0000,0.5000
1169_jpg.rf.8c016210e7e519d3c56c06a5ea01ed59.jpg,212,1,0.0000,0.4491,0.0000,1.0000,0.5000
116_jpg.rf.7c92b89c9d7721eb928ae1df6d3d14ac.jpg,213,1,0.0000,0.6290,0.0833,0.0000,0.5167
1170_jpg.rf.23ec306238b9edcdf191b083e6fbb443.jpg,214,1,0.0000,0.3869,0.0000,1.0000,0.5000
1171_jpg.rf.8c118afdc3cd30e5f95ac5dc7a8e43b5.jpg,215,1,0.0000,0.1934,0.0000,1.0000,0.5000
1172_jpg.rf.24ea206058b33ce64cdd4e1f212357c0.jpg,216,1,0.0000,0.3066,0.0000,1.0000,0.5000
1174_jpg.rf.078d6525b0246c372e588cae72dc460f.jpg,217,1,0.0000,0.3066,0.0000,1.0000,0.5000
1175_jpg.rf.c9d7de8d275c99321f4d7b9bd0ebfb09.jpg,218,1,0.0000,0.3869,0.0000,1.0000,0.5000
1176_jpg.rf.9bb81922371e3d33ce39fd230b187b88.jpg,219,1,0.0000,0.0000,0.0000,1.0000,0.5000
1177_jpg.rf.8d494db44a5bb7bdc67122af7aa3a172.jpg,220,1,0.0000,0.4491,0.2000,1.0000,0.5400
1178_jpg.rf.cf88ccd01373db84586ec5fc902d6121.jpg,221,1,0.0000,0.0000,0.0000,1.0000,0.5000
